customer_id,churned,ltv_actual,monthly_charges,tenure_months,churn_probability,predicted_ltv,revenue_at_risk,risk_tier
CUST100093796,0,1200.92,76.15,57,0.0491,1004.15,49.31,low
CUST100032651,0,343.34,68.52,36,0.5425,202.18,109.69,medium
CUST100019127,0,745.89,64.17,46,0.1124,530.62,59.66,low
CUST100029351,1,156.27,103.09,7,0.9137,62.84,57.42,critical
CUST100105119,0,1596.67,112.67,54,0.0589,1290.54,75.95,low
CUST100005459,0,750.89,89.09,65,0.0631,1023.42,64.57,low
CUST100172835,0,946.35,122.42,12,0.1474,978.37,144.23,low
CUST100049178,0,1569.23,110.6,39,0.0608,1260.75,76.66,low
CUST100159425,0,1120.89,74.25,6,0.0685,766.39,52.54,low
CUST100126130,0,474.23,61.17,24,0.0469,746.78,35.01,low
CUST100112107,0,795.45,73.5,15,0.0484,934.52,45.25,low
CUST100167130,0,961.07,94.57,58,0.228,563.41,128.47,low
CUST100006070,1,31.71,92.47,10,0.8928,41.19,36.78,critical
CUST100008202,0,1025.15,73.77,43,0.0497,931.85,46.34,low
CUST100178135,0,681.3,86.67,72,0.0467,1122.0,52.4,low
CUST100019641,0,635.6,37.79,60,0.0487,448.47,21.86,low
CUST100145270,0,972.9,92.12,56,0.0564,1050.73,59.27,low
CUST100022942,1,172.97,114.97,50,0.5209,494.64,257.66,medium
CUST100189673,0,1378.13,98.8,71,0.0461,1276.64,58.8,low
CUST100180310,0,1233.7,105.54,20,0.114,919.13,104.74,low
CUST100179421,1,81.76,56.12,35,0.2066,353.08,72.93,low
CUST100133412,0,999.52,103.75,2,0.0568,1168.65,66.38,low
CUST100174648,0,950.25,116.16,40,0.1218,953.45,116.13,low
CUST100045148,0,805.29,104.72,67,0.0544,1234.92,67.14,low
CUST100078394,0,484.79,102.41,38,0.5356,536.91,287.56,medium
CUST100153525,0,604.35,66.74,36,0.0624,869.6,54.24,low
CUST100158880,1,32.7,85.25,20,0.8096,116.87,94.61,high
CUST100027487,0,830.3,55.35,52,0.0483,690.31,33.34,low
CUST100102742,1,109.11,80.09,43,0.9237,73.25,67.66,critical
CUST100038150,0,585.39,70.76,22,0.4332,353.2,152.99,medium
CUST100197534,0,1528.05,100.4,55,0.046,1299.1,59.81,low
CUST100026956,0,1416.02,101.65,38,0.0556,1217.88,67.7,low
CUST100047108,0,1453.48,101.49,2,0.0704,1047.48,73.73,low
CUST100164627,1,122.4,91.48,26,0.6323,213.02,134.7,high
CUST100076904,0,481.88,78.38,20,0.1814,673.01,122.1,low
CUST100096931,0,605.14,44.45,48,0.0749,475.07,35.6,low
CUST100081885,0,884.56,77.77,16,0.0889,691.08,61.46,low
CUST100089491,0,725.45,46.74,56,0.0462,633.3,29.27,low
CUST100060112,1,141.51,87.32,35,0.0573,1052.68,60.32,low
CUST100024175,0,1024.5,84.73,11,0.0505,1032.49,52.19,low
CUST100075258,0,669.89,76.58,15,0.0828,802.87,66.46,low
CUST100112573,0,646.98,136.59,25,0.7517,419.49,315.33,high
CUST100124403,1,67.6,98.4,11,0.7422,195.85,145.36,high
CUST100088844,0,822.66,105.09,34,0.1101,976.89,107.53,low
CUST100001862,0,503.8,55.32,62,0.0503,657.02,33.05,low
CUST100086897,1,25.6,61.28,30,0.6324,359.76,227.52,high
CUST100021952,0,989.72,104.91,51,0.2669,707.34,188.79,low
CUST100077723,1,176.85,106.01,28,0.8971,116.03,104.08,critical
CUST100125387,0,725.68,125.45,54,0.342,850.03,290.75,medium
CUST100104635,0,499.87,59.02,22,0.2611,215.85,56.35,low
CUST100099023,0,1050.63,76.95,33,0.0489,957.69,46.82,low
CUST100172170,1,74.0,61.71,46,0.941,51.24,48.21,critical
CUST100115407,1,181.11,112.97,64,0.737,403.39,297.31,high
CUST100119031,0,932.08,87.22,31,0.049,1131.85,55.49,low
CUST100191051,1,119.25,103.9,7,0.2408,690.13,166.16,low
CUST100049278,1,143.53,86.27,35,0.4462,407.68,181.89,medium
CUST100025802,0,1278.74,103.21,1,0.0596,1129.13,67.34,low
CUST100154337,0,1045.18,81.85,53,0.0711,894.16,63.54,low
CUST100100628,0,1762.0,111.72,50,0.0492,1329.89,65.42,low
CUST100047546,0,949.48,70.08,65,0.1116,738.21,82.35,low
CUST100011562,0,1135.12,100.32,63,0.0483,1266.97,61.18,low
CUST100169543,0,898.55,78.48,62,0.072,804.83,57.98,low
CUST100046378,1,33.4,57.45,27,0.1326,493.56,65.46,low
CUST100118155,0,937.3,123.03,61,0.1035,1148.3,118.85,low
CUST100062137,0,776.19,73.28,20,0.0518,967.14,50.1,low
CUST100132344,0,1163.58,136.6,19,0.1211,1165.41,141.17,low
CUST100168966,0,1116.51,76.85,69,0.0473,1020.39,48.26,low
CUST100084315,0,1139.56,129.27,44,0.0786,1184.41,93.09,low
CUST100136579,0,1059.2,132.95,64,0.0567,1384.49,78.49,low
CUST100012478,0,431.34,53.48,36,0.2986,197.82,59.07,low
CUST100192353,0,900.3,86.0,56,0.1017,779.18,79.22,low
CUST100047943,0,1009.13,107.47,25,0.0474,1331.66,63.11,low
CUST100012560,1,124.87,124.44,29,0.5691,482.47,274.57,medium
CUST100002929,0,943.4,80.22,48,0.0499,964.62,48.11,low
CUST100146875,0,434.93,85.22,2,0.2587,601.91,155.71,low
CUST100191710,0,943.99,58.09,46,0.0511,779.65,39.82,low
CUST100192980,0,392.16,82.47,14,0.5033,285.73,143.8,medium
CUST100192564,0,1038.86,97.69,43,0.2709,679.31,184.01,low
CUST100170071,0,1007.23,73.15,12,0.0566,891.1,50.41,low
CUST100088766,0,505.76,72.12,21,0.1068,624.4,66.71,low
CUST100013519,1,72.12,131.83,18,0.4649,941.91,437.92,medium
CUST100091676,0,858.11,81.09,64,0.0667,931.04,62.1,low
CUST100129243,1,53.63,82.37,36,0.8421,227.81,191.85,high
CUST100165391,1,32.2,129.59,67,0.0883,1370.56,121.01,low
CUST100106915,1,63.09,96.39,15,0.5318,379.92,202.05,medium
CUST100030904,0,407.45,54.9,10,0.0814,549.39,44.71,low
CUST100092702,0,1265.77,82.42,61,0.075,803.02,60.27,low
CUST100001956,0,1180.94,84.14,39,0.0745,811.88,60.51,low
CUST100115582,0,963.7,91.78,59,0.0959,931.03,89.26,low
CUST100058055,0,70.49,114.76,27,0.9027,98.83,89.22,critical
CUST100107251,0,677.94,70.91,15,0.0475,891.99,42.35,low
CUST100175403,1,30.37,64.95,37,0.9191,47.04,43.23,critical
CUST100041157,0,1010.01,96.0,7,0.122,909.09,110.87,low
CUST100058341,0,759.8,81.33,41,0.1564,657.59,102.87,low
CUST100042011,0,934.36,57.76,17,0.0571,685.4,39.16,low
CUST100156399,0,1231.05,107.79,9,0.0557,1193.76,66.47,low
CUST100102558,0,1003.65,104.59,21,0.1575,877.68,138.23,low
CUST100164450,0,982.45,97.95,19,0.1575,740.14,116.59,low
CUST100062547,1,76.22,47.26,24,0.3565,294.97,105.15,medium
CUST100065365,1,32.0,112.69,18,0.8588,140.17,120.38,critical
CUST100123311,0,1139.7,89.82,65,0.0482,1203.52,58.05,low
CUST100041691,0,215.01,40.58,50,0.3412,224.65,76.65,medium
CUST100110402,1,118.09,98.59,18,0.0949,909.14,86.28,low
CUST100081849,0,741.0,67.22,42,0.0482,796.25,38.36,low
CUST100079478,0,946.64,99.68,20,0.2878,522.42,150.34,low
CUST100136270,0,1521.78,115.54,65,0.0574,1300.31,74.64,low
CUST100059672,0,1223.7,104.3,47,0.0489,1248.88,61.05,low
CUST100159110,1,116.77,84.55,58,0.1384,737.03,102.0,low
CUST100152483,1,74.46,109.98,41,0.8734,341.43,298.19,critical
CUST100006110,0,766.92,54.0,63,0.0468,731.03,34.19,low
CUST100178098,1,141.84,94.39,31,0.92,45.88,42.21,critical
CUST100113958,0,754.91,107.94,37,0.2689,726.16,195.27,low
CUST100034803,0,954.2,118.46,55,0.0528,1403.47,74.13,low
CUST100188539,1,86.59,79.82,10,0.8759,100.1,87.68,critical
CUST100199087,0,628.22,71.11,66,0.0482,894.25,43.1,low
CUST100071313,1,80.7,83.82,13,0.92,84.23,77.49,critical
CUST100055156,0,854.77,62.61,31,0.0814,600.54,48.87,low
CUST100064112,0,576.38,80.59,22,0.1714,593.93,101.82,low
CUST100036274,1,46.9,145.49,16,0.8901,154.33,137.37,critical
CUST100072917,0,617.5,65.81,4,0.1342,562.67,75.49,low
CUST100109129,0,1137.37,80.3,62,0.0677,859.59,58.17,low
CUST100189041,0,1177.68,95.09,53,0.0468,1211.02,56.62,low
CUST100014213,0,1293.32,96.44,47,0.0872,877.46,76.52,low
CUST100069387,1,122.27,91.04,6,0.2387,402.59,96.09,low
CUST100057626,1,23.69,37.35,37,0.0881,358.41,31.58,low
CUST100015422,0,915.78,89.54,27,0.0464,1159.96,53.78,low
CUST100016160,0,809.36,57.61,44,0.0515,706.66,36.38,low
CUST100091553,0,1156.29,91.29,6,0.1175,795.43,93.5,low
CUST100142096,0,1132.58,78.29,61,0.0464,989.09,45.92,low
CUST100080403,1,101.59,77.6,30,0.7867,173.11,136.19,high
CUST100109980,0,584.03,48.18,43,0.0709,512.03,36.3,low
CUST100072149,0,674.84,105.34,15,0.1565,953.86,149.3,low
CUST100013169,0,588.67,54.53,35,0.1034,507.35,52.44,low
CUST100011133,1,155.97,94.4,48,0.3697,553.24,204.52,medium
CUST100141875,0,1235.15,88.66,48,0.0557,1092.33,60.83,low
CUST100029731,1,50.38,89.38,10,0.6635,221.43,146.92,high
CUST100172413,0,1100.82,84.42,16,0.0734,879.13,64.51,low
CUST100046546,0,291.81,89.13,6,0.8106,122.19,99.04,high
CUST100034881,0,983.0,109.85,4,0.2475,671.73,166.23,low
CUST100033079,1,55.94,78.36,8,0.1176,658.77,77.46,low
CUST100123483,0,161.06,86.25,16,0.9017,73.29,66.08,critical
CUST100153600,0,1252.94,103.53,26,0.1143,933.52,106.67,low
CUST100005988,0,618.49,66.39,63,0.0499,854.33,42.66,low
CUST100080132,0,654.47,111.39,32,0.4081,523.35,213.59,medium
CUST100171225,1,153.5,111.79,52,0.8545,214.59,183.37,critical
CUST100000253,1,34.08,104.82,24,0.6347,216.88,137.66,high
CUST100035715,1,125.14,110.84,47,0.9111,121.53,110.72,critical
CUST100077002,0,624.14,76.7,64,0.0467,1063.03,49.63,low
CUST100134159,1,134.13,95.55,17,0.87,121.36,105.58,critical
CUST100185069,0,722.14,74.14,26,0.0518,907.25,47.01,low
CUST100095400,1,60.02,106.0,55,0.8762,261.0,228.68,critical
CUST100044979,0,480.24,74.49,56,0.1271,690.34,87.75,low
CUST100149570,0,1843.49,123.75,49,0.0475,1578.35,75.05,low
CUST100113554,0,610.1,77.17,61,0.0495,1004.19,49.7,low
CUST100038808,0,831.42,58.1,12,0.0621,710.41,44.13,low
CUST100140783,0,1006.1,81.35,72,0.0482,1169.72,56.33,low
CUST100139649,1,119.85,89.57,41,0.6204,318.46,197.57,high
CUST100150983,0,692.29,80.72,3,0.1845,556.45,102.68,low
CUST100006659,1,90.19,122.87,17,0.1267,1115.0,141.31,low
CUST100058729,1,109.39,71.26,51,0.374,364.13,136.19,medium
CUST100138914,0,735.18,86.59,67,0.06,978.82,58.72,low
CUST100108361,1,66.29,111.62,7,0.7638,239.54,182.97,high
CUST100158341,0,1534.72,126.68,7,0.11,939.66,103.39,low
CUST100064595,0,761.81,78.52,19,0.1476,694.09,102.47,low
CUST100144105,0,992.5,88.83,45,0.0463,1154.71,53.43,low
CUST100155204,0,478.63,72.25,30,0.1605,510.62,81.93,low
CUST100095295,0,946.33,60.75,5,0.0577,681.91,39.32,low
CUST100187969,0,1003.81,75.23,23,0.0525,960.13,50.37,low
CUST100137214,0,758.08,88.88,28,0.0525,1083.91,56.96,low
CUST100007488,0,810.93,81.87,2,0.0873,713.84,62.33,low
CUST100128021,0,333.31,36.95,57,0.0462,426.54,19.69,low
CUST100176475,0,811.34,77.13,64,0.0494,991.14,48.92,low
CUST100184431,1,43.44,110.09,39,0.9206,28.19,25.95,critical
CUST100046491,0,1306.09,93.4,67,0.1131,674.6,76.27,low
CUST100069069,0,773.08,93.39,71,0.0482,1170.9,56.43,low
CUST100170481,1,79.56,114.01,23,0.8456,323.1,273.2,high
CUST100048834,0,877.63,82.8,41,0.0504,1041.18,52.49,low
CUST100160577,0,1104.51,96.59,13,0.0487,1214.59,59.09,low
CUST100078123,1,26.32,100.06,40,0.5398,391.9,211.55,medium
CUST100091388,0,1594.36,129.88,51,0.0561,1455.6,81.64,low
CUST100050442,1,84.5,83.79,68,0.2543,444.74,113.09,low
CUST100122864,0,833.42,78.45,55,0.0493,983.27,48.47,low
CUST100001396,0,772.69,116.03,45,0.1428,788.71,112.61,low
CUST100189124,1,44.08,138.57,3,0.9413,55.17,51.93,critical
CUST100137261,0,1268.93,113.62,13,0.1121,974.46,109.25,low
CUST100152880,0,358.02,36.9,49,0.0636,377.65,24.04,low
CUST100180025,1,77.87,123.64,50,0.6457,610.63,394.27,high
CUST100168480,1,86.07,87.1,72,0.647,658.06,425.78,high
CUST100158947,0,1421.44,121.69,35,0.0468,1561.46,73.03,low
CUST100036398,0,1072.02,104.35,67,0.0464,1280.28,59.46,low
CUST100020112,0,1119.7,85.26,48,0.0471,1107.82,52.19,low
CUST100014124,0,805.78,78.38,6,0.1281,635.16,81.37,low
CUST100026009,0,970.02,81.14,31,0.0914,842.78,77.05,low
CUST100020188,0,555.34,105.09,9,0.4081,441.76,180.3,medium
CUST100100689,0,237.71,65.67,45,0.8113,109.55,88.87,high
CUST100189247,0,734.46,59.09,31,0.0699,758.39,52.99,low
CUST100138955,0,630.68,106.87,53,0.6362,302.74,192.6,high
CUST100019786,0,429.5,61.9,49,0.4034,259.15,104.54,medium
CUST100037927,1,59.6,98.65,14,0.8167,364.45,297.65,high
CUST100014294,1,94.66,59.37,26,0.3803,358.79,136.46,medium
CUST100008940,0,1294.19,109.0,7,0.068,1128.61,76.74,low
CUST100158252,0,827.69,79.07,44,0.0514,825.64,42.43,low
CUST100199878,1,84.74,67.98,69,0.6963,151.6,105.57,high
CUST100035946,1,26.03,77.84,33,0.893,74.69,66.7,critical
CUST100142009,0,450.25,57.6,72,0.0468,749.97,35.07,low
CUST100057866,0,476.69,52.69,20,0.0626,620.75,38.83,low
CUST100035323,1,130.57,84.78,15,0.941,91.71,86.29,critical
CUST100091891,1,130.78,114.08,56,0.8704,211.38,183.99,critical
CUST100126254,0,1046.02,82.46,60,0.0652,914.65,59.62,low
CUST100066615,0,556.45,83.91,45,0.2189,616.11,134.85,low
CUST100022453,0,1095.94,113.77,22,0.0557,1221.08,67.96,low
CUST100066505,1,110.84,101.01,6,0.8295,155.28,128.8,high
CUST100062981,0,460.09,76.13,49,0.3192,479.93,153.18,medium
CUST100065935,0,978.3,74.59,46,0.0481,927.31,44.61,low
CUST100151157,0,866.89,108.24,51,0.0739,1095.43,80.97,low
CUST100139361,0,1166.93,85.83,18,0.0494,1073.45,53.06,low
CUST100108602,0,890.78,103.78,57,0.2528,853.86,215.84,low
CUST100066298,0,1168.32,100.02,52,0.0713,1063.73,75.9,low
CUST100175799,0,539.9,78.22,49,0.0792,783.78,62.07,low
CUST100063681,0,1132.34,88.95,60,0.054,1009.79,54.55,low
CUST100091901,1,91.24,106.9,18,0.3253,681.26,221.63,medium
CUST100005909,0,383.95,36.92,38,0.059,495.15,29.21,low
CUST100069724,0,502.35,61.71,10,0.1141,495.87,56.57,low
CUST100106198,1,121.95,96.87,47,0.1153,861.8,99.33,low
CUST100154585,0,1161.26,86.69,65,0.0675,922.82,62.27,low
CUST100004961,0,819.93,89.43,37,0.0549,1009.27,55.4,low
CUST100188071,1,34.07,79.23,38,0.6264,194.85,122.06,high
CUST100097556,1,151.02,102.34,27,0.274,605.6,165.96,low
CUST100019028,0,816.75,89.64,34,0.0542,1017.83,55.22,low
CUST100147079,0,617.43,59.66,63,0.0633,656.31,41.57,low
CUST100004652,1,139.66,85.79,24,0.3529,323.28,114.1,medium
CUST100178482,0,914.34,91.71,1,0.0493,1175.13,57.94,low
CUST100100285,0,974.19,70.71,40,0.0479,866.79,41.54,low
CUST100131252,1,91.38,74.74,5,0.9454,58.63,55.43,critical
CUST100130000,1,55.64,78.09,26,0.808,111.93,90.44,high
CUST100029399,0,1356.36,129.73,40,0.0713,1266.91,90.38,low
CUST100084076,0,349.25,57.09,46,0.1191,499.95,59.53,low
CUST100197598,0,1277.94,108.72,16,0.0911,1005.01,91.54,low
CUST100100993,1,164.22,117.82,22,0.9439,130.13,122.83,critical
CUST100035977,0,553.13,49.76,50,0.0601,551.65,33.15,low
CUST100002693,0,1189.71,106.95,31,0.0603,1218.11,73.43,low
CUST100183392,0,1556.13,119.59,49,0.063,1241.58,78.22,low
CUST100157668,0,1247.24,94.13,61,0.0472,1226.39,57.9,low
CUST100083540,0,464.12,87.09,10,0.4,297.45,118.99,medium
CUST100136242,1,28.76,125.76,48,0.6326,451.02,285.33,high
CUST100070210,1,73.38,48.26,36,0.0834,509.78,42.51,low
CUST100037372,0,1681.7,126.62,66,0.0486,1677.61,81.59,low
CUST100049161,0,596.94,86.02,47,0.362,364.76,132.04,medium
CUST100018030,0,332.72,69.64,12,0.4842,149.16,72.22,medium
CUST100146234,0,477.96,99.35,42,0.5384,422.71,227.59,medium
CUST100055561,0,915.43,107.14,13,0.1972,713.12,140.64,low
CUST100107979,1,187.96,141.3,52,0.1097,1189.71,130.55,low
CUST100094162,0,1129.43,73.25,52,0.0808,790.84,63.92,low
CUST100180916,1,29.63,82.18,21,0.9377,100.08,93.85,critical
CUST100026147,0,1300.27,93.7,18,0.0467,1240.78,57.96,low
CUST100176761,0,1408.24,101.32,36,0.0477,1353.49,64.58,low
CUST100131346,0,410.86,62.75,48,0.2406,334.48,80.47,low
CUST100002526,0,1238.38,106.63,34,0.0536,1299.67,69.72,low
CUST100147484,0,690.86,70.95,67,0.0631,744.59,46.97,low
CUST100058545,1,80.28,63.56,5,0.9108,61.36,55.89,critical
CUST100080722,0,1270.58,77.1,17,0.048,1008.43,48.43,low
CUST100069255,0,1256.7,73.8,52,0.0463,957.24,44.34,low
CUST100131295,1,76.96,96.7,6,0.9306,17.33,16.13,critical
CUST100105047,1,69.62,65.68,7,0.2267,596.14,135.14,low
CUST100073900,0,830.38,94.76,60,0.1964,684.13,134.36,low
CUST100093488,0,981.86,113.19,45,0.0762,1212.41,92.41,low
CUST100172939,1,164.37,122.45,11,0.9324,77.81,72.56,critical
CUST100026623,0,754.38,43.75,50,0.0475,534.59,25.37,low
CUST100162154,0,1060.0,83.28,66,0.0463,1073.53,49.75,low
CUST100027263,0,1152.94,85.62,62,0.1365,838.72,114.47,low
